text	translation
carino	kind, good-looking, handsome, lovely, nice, cute, pretty, endearing
carne	meat
caro	dear, honey, costly, expensive, sweetheart, darling, beloved
carta di credito	credit card
cartolina	postcard
casa	home, place, house, domicile
cassa	cash desk, cash register, cashier
casse	speakers, cashiers, checkouts
castello	forecastle, castle, castles
cellulare	cell phone
cenare	to have dinner
ceno	I have dinner, I eat dinner
cento	one hundred
centri	centers
centro commerciale	mall
cera	crayon
cerca	scenting, tracking, collection of alms, find, is searching for, get, searches, looks for, found, is looking for, seeks, look for
cercano	find, look for, get, they're looking for, seek, search for, are looking for, are searching for, found, look
cerchiamo	we try to find, we circle, looking for, find, we seek, we pursue, we ring, get, look, we look for, we hoop, we are looking for, found, we encircle, we put a ring round, we surround, are we looking for, we're looking for, let's
cerco	I'm looking for, I try, I am looking for, get, I look for, found, looking, find
cervo	deer, stag, hart
che	that, what a, than, those, who, which, what, what do, what does, what's, how
che ore sono	what time is it
chi	whom, who, who's
chiama	is calling, phones, she calls, he calls, calls, call, rings, names, 's name
chiamare	to call
chiavi	keys
chiesa	church
chilo	kilo
ci piacciono	we like
ci piace	we like
ci sono	there are, are there
ciao	goodbye, hello, hi, bye
cibo	food
cielo	heaven, sky
cinema	movie theater
cinquanta	fifty
cinque	five
cioccolato	chocolate
cita	names
città	cities, town, city, city's
cliccare	to click
coda	tailback, echo, repercussion, end, line, tail, coda, backup, queue, scut, tails
coinquilina	roommate
coinquilino	roommate
colloquio	interview
com'è	how is, how's, what is, what’s, as it is, how it is
come	like, as a, as much as, how do, how's, as, as an, what, how, how does, what's
come dolce	for dessert
come primo	for the first course
come secondo	for the second course
come stai	how are you
come ti chiami	what's your name
compleanno	birthday
compra	she buys, he buys, buy, she purchases, he purchases, bought, you purchase, you buy, buys
comprare	to buy
comprate	buy, get, square, you buy
compriamo	we buy, we purchase, do we buy, let's, get, square, we are buying
computer	computer, computers
comunque	anyway
con	with, to, featuring
concerto	performance, concert, gig, shows
contanti	count, matter, cash, have, tell
conto	bill, check
contratto	contract, caught, got, I negotiate
coppa	pots, pot, bowl, cup, pan, trophy, goblets
cornetto	croissant
corri	you run, do you run, run
corsa	jog, footrace, run, runs, traveled, dash
cosa	what
costa	costs, it costs, costa, seacoast, slope, spine, coast, seabord, does it cost
costano	they cost, do they cost, are, cost
costare	(to) cost, cost
cucina	kitchen
cucinare	to cook
cucini	cooking, cook, are you cooking, do you cook, you cook
cuciniamo	we cook up, cook, we cook, we fix, let's
cucino	I cook, I am going to cook, do I cook, cook, I am cooking
cugina	cousin
cugino	cousin
cultura	knowledge, crop, culture, cultivation, civilization, learning, education
cuoca	cook
cuoco	cook
cura	(he/she/it) nurses, course, (you) treat, (he/she/it) cures, care, (you) look after, (he/she/it) takes care of, cure, cure (of souls), (you) care for, nurses, charge, treatment, tidiness, (he/she/it) looks after, (he/she/it) treats, care's
curato	curate, priest, parish priest, cared for, treated, well-groomed, neat, tidy
cure	(he/she/it) nurses, (he/she/it) takes care of, (you) nurse, (you) look after, (you) care for, (you) attend, (you) treat oneself, worry, (you) edit, edited by, (you) take care of, be treatable, treatment, cure (of souls), (he/she/it) cares for, (he/she/it) attends, (he/she/it) cures, (he/she/it/you) curate, (he/she/it) looks after, (he/she/it) treats, carefulness, (he/she/it) treats oneself, (you) treat, care, (he/she/it) tends (to), (you) tend (to), (he/she/it) edits, (he/she/it) is treatable, (you) are treatable
curriculum	resume
dare	hold, offers, offered, gave, to give, throws, apply, to issue, lay down, produce, sits, sit, present, returns, give, given, held, let's
della	week's, of the, earth's, friend's, baby's, about the, than, party's, in the, government's, 's, day's, about, some, of, year's, from, in, anna's, tonight's, man's
deve	he has to, owes, he must, you have to, has to, she has to, it must, it has to, she must, does have to, must, he'll
devi	you have to, have to, need to, you must, owe, must, turn, do you have to
devo	I have to, I need to, I must, need, do I have to
devono	have to, they have to, need, must, they must
di	with, made of, for, than, 's, at, about, boss's, to, of, fashion, year's, from, in, earth's
di dove sei	where are you from
di notte	at night
di pomeriggio	in the afternoon
di solito	usually
dicembre	December
dieci	ten
difficile	difficult
dipinto	portrayed, painting, depicted, painting's
disegnare	to draw
disgustoso	sick, disgusting, grossest, gross
divertente	fun
divertiti	have fun
dobbiamo	we need to, we have to, we must, we've, we owe, do we have to, we're
documento	papers, documents, document
dodici	twelve
dolce	soft, dessert, cake, gradual, mild, sweetness, sweet, candy, candy's
dollaro	buck, clam, dollar
domani	tomorrow
domenica	Sunday
donna	woman, skirts
dopo	then
dorme	sleeps, he sleeps, she sleeps, it sleeps, does he sleep, sleep, you are asleep, does sleep, does it sleep, does she sleep, are asleep, you sleep
dormi	you sleep, do you sleep, you are asleep, you sit back, be asleep, you go to bed
dormire	to sleep
dormite	be asleep, you are asleep, you sleep, you sit back, do you sleep
dormitorio	dorm room, dorm
dormo	I sleep, I am asleep, sleep
dormono	do they sleep, they sleep, sleep
dottore	doctor
dottoressa	doctor, graduate
dov'è	where is, where's
dove	where
dovete	you must, you have to, do you have to
dritto	straight
due	two
durante	during, for
e	and
ebbi	offered, (I) had, kept, wear, had, have, held
ecco	that's, here are, here’s, here is, here's, there, there is, there's, now's
economica	financial, economic, cheap, economical, inexpensive
economiche	economics, cheap, economical, economic
economico	cheap
edifici	buildings, structures, edifices
edificio	building
elegante	elegant
eleganti	elegant, fancy
email	email
estate	summer
euro	euros
Europa	Europe
europeo	European
evento	event, event's
fa	is, hold, makes, made, does it make, she does, it's, ago, throws, lets, perform, follow, takes, it is, fi, sinks, leave, plays, mix, surfs, goes, does, equals, it does, cut, dance, fashion, he does, names, performs
fa caldo	it's hot
fa freddo	it's cold
facci	Make
facciamo	we act as, hold, let's, made, make, are we doing, go, let us hold, lets, perform, follow, we make, we take, leave, let’s, do we do, keep, we do, we study, dance, we function as, we hold, we serve as, we're
faccio	hold, made, I study, Shall I make, I do, make, I have done, go, follow, take, I act as, I  have, leave, I go, I am, mix, do, I make, keep, dance, fashion
facile	easy
fai	you have, makes, made, to give, you do, make, you are doing, you study, leave, you go, mix, have, keep, will you do, dance, you make, do
famiglia	family, stock
famoso	renowned, famous, well-known
fanno	hold, made, it's, (they) act as, (they) make, (they) study, make, ask, let, perform, leave, they do, mix, do, keep, (they) take, dance, fashion, (they) have, (they) form, shoot, take
fantasma	ghost
fantastico	fantastic
fare	hold, makes, baked, let's, made, to give, throws, left, making, done, make, ask, knit, perform, performs, sinks, get, put, got, leave, to do, to study, going, mix, do, to have, don't, come, keep, dance, followed, shot, fashion, came, went, doing, doesn't, names, held, to make, shoot, we're
fare shopping	to go shopping
farina	flour
farmacia	pharmacy
fate	you give, you do, you study, you make, you serve as, you function as, you act as, makes, made, make, follow, leave, mix, do, have, keep, dance, you go
fatta	have, function / act / serve as, get a fix, go round, act as, make, study, play, make out with, form, last, jack around, do, do drugs, run around, get oneself, shoot up, spend, make oneself, get stoned, made
febbraio	February
felice	happy
festa	done, festivity, don't, party, holiday, parties
festeggiamo	let's, we celebrate, we're
fiato	breath, (I) breathe, (I) whisper
figli	sons, children
figlia	daughter
figlie	daughters
figlio	son
Filadelfia	Philadelphia
finalmente	finally
fine settimana	weekend
finestra	window
fiore	flower, bloom
fiori	flowers, flower, club
formaggio	cheese
forno	baker’s shop, oven, ovens, bakery
forse	maybe
fotografia	photography, picture, photograph, photo, photo's
francese	French
francesi	French, French-speaking, French people
Francia	France
fratello	brother
frigorifero	fridge, refrigerators, refrigerator, refrigerator's, cooler's
fuochi d'artificio	fireworks
fuori	outside
gamma	sweep, assortment
gara	event, contest, competition, race, events
gare	races
gatti	cats
gatto	cat
gelato	frozen, frosted, ice-cold, frozen up, gelato, ice cream, chilled, frozen over, icy
geloso	jealous, possessive
genitori	parents, folks
gennaio	January
Germania	Germany
gesso	chalk
giacca	jacket
gialli	detective, amber, detective novel, yellow, crime, (egg) yolk, mystery, detective film, sallow, detective story
giallo	yellow
giardino	garden
giorni	days
giorno	day
giovedì	Thursday
giri	(you) shoot, break, (you) stir, (you) turn (over), turn
giro	walks, run, (I) stir, (I) go around, around, (I) turn over, runs, turns, break, (I) shoot, (I) turn (over), walk, round, turn
giugno	June
giusto	legitimate, righteous person, even, just, right, justifiable, fair, true, just person, correct, Justus, uses
già	yet, already, right, before, by then
gli	he, him, with him, to him, your, the, it, them, his
gli piacciono	he likes, they like
gli piace	he likes, they like
gonna	skirt
gonne	skirts
grande	big
grazie	thank you
grazie mille	thank you very much
grido	scream
guanti	gloves
guanto	glove
guarda	she looks, you take care, he keeps watch on, she looks up, take care, view, take care of, she looks to, she takes a look at, she minds, you mind, she watches, he looks at, she looks at, look at, she keeps watch on, he takes a look at, he minds, you watch, you look at, he looks to, he looks on, you keep watch on, look, watch, he takes care of, he looks up, you take care of, she looks after, keep watch on, she takes care of, it watches, look after, you look after, looking, you look to, watches, you look, it keeps watch on, he watches, views, she looks on, look on, you look on, he looks after, he looks, now's
guardate	you watch, watch, do you watch, do you look up, do you look to, do you look at, you look at, you look to, you look up, you look on, look to, look up, look at, look on, do you look on
guardiamo	we look on, look, watch, we look at, we look up, we look to, we look, we watch, we keep watch on, let's
guasto	broken, failures, worse, malfunction
guidare	to drive
ha	is, hold, offers, has got, he has, make, does he have, wears, she's, it has, he's, she has, wear, had, have, keep, stock, has, did
ha bisogno di	needs, you need
ha paura	is scared, she is scared, it is scared, he is scared, is afraid, he is afraid, it is afraid, she is afraid, are afraid, you are afraid
hai	you have, did you, you're, you've, do you have, you are, you are afraid, own, had, have, keep, you’ve
hai bisogno di	you need
hai paura	you're scared
hai ragione	you're right, you are right
hanno	hold, they're, they have, did, own, had, have, keep, stock, do they have, are, they've
hanno bisogno di	need, they need
ho	hold, I'm, i've, wear, I am, own, had, have, keep, stock, I have, have got, i’ve
ho bisogno di	need, I need
ho capito	understand, I understand, understood
ho fame	I'm hungry, I am hungry, am hungry
ho paura	am afraid, I'm scared
ho sete	I'm thirsty, I am thirsty
ho sonno	I am sleepy, I am tired, I'm sleepy
hobby	hobby, hobbies, pastime
hotel	hotel, albergo, hotels
i	the, his
i loro	their, theirs
i miei	my, mine
i nostri	our, ours
i suoi	her, his, your, hers, their
i tuoi	your, yours
i vostri	your, yours
idea	idea
ieri	yesterday
il	the, a
il loro	their, theirs
il mio	my, mine
il nostro	our, ours
il prossimo	next
il suo	your, her, hers, his, their
il tuo	your, yours
il vostro	your, yours
importante	important
importanti	major, big, important, prominent, mattered
in	at, to the, to, in, for, of us, into, going, on, by, at the
in centro	downtown
in offerta	on sale
in ritardo	late
in spiaggia	on the beach, at the beach, in the beach area, going to the beach
indiano	Indian
ingiallito	turned
inglese	English, British
ingredienti	ingredient, element, ingredients
iniziano	they start, they begin, enter
insalata	salad
insieme	together
intelligente	intelligent
interessante	interesting
interessanti	interesting, juicy, intriguing
internet	internet
inutile	unnecessary, useless, unhelpful
invece	instead
inverno	winter, winter's
inviare	to send
invitato	asked, invited, requested, guest
io	i'd, I, me, i'll
italiana	Italian, italians
italiane	Italian women, Italians, Italian-style, Italian
italiani	Italians, Italian
italiano	Italian, italians
kilo	kilo
l'	her, the, him, it, hers
la	her, the, you, for, it, your
la loro	their, theirs
la mia	my, mine
la nostra	our, ours
la prossima	next
la sua	hers, your, her, his, its, yours
la tua	your, yours
la vostra	your, yours
lacci	bootlace, lace, cord, tie, ribbon, shoelace, string, laces
lagna	beef
lasci	leave, (you) leave (behind), (you) let go of, (you) drop, let, (will you) leave
lastra	sheets, plate
latte	milk
lava	he cleans, he cleanses, he cleans up, wash, you cleanse, it cleans up, it cleanses, she cleanses, she cleans, she washes, washes, she cleans up, it cleans, you clean up, you clean, you wash, he washes, it washes, showers
lavanderia	dry-cleaner, cleaner's, laundry room, cleaner, laundry, laundromat's
lavare	to wash
lavatrice	washing machine
lavi	wash, you shower, you wash, shower
lavo	I clean, I clean up, wash, I wash, I brush, cleanse
lavora	work, he works, she works, does it work, does she work, does he work, works, it works
lavorano	work, they are working, they cultivate, they knead, they work, they knit, they do business
lavorare	to work
lavorate	you work, work, do you work, you all work, you cultivate, you knead
lavori	you work, do you work, jobs, works, you are working, worked
lavoriamo	work, we work, we cultivate, we knead
lavoro	labour, work, d'oeuvre, jobs, employment, position, labor, I work, assignment's, job, task, occupation, work's
le	her, you, to her, for her, she, the, does she like, it, them, your
le loro	their, theirs
le mie	my, mine
le nostre	our, ours
le piacciono	she likes
le piace	she likes
le sue	her, hers, his, your
le tue	your, yours
le vostre	your, yours
leggenda	legend, story, tale, myth
leggere	to read
legno	(I) tan, wood, (I) thrash
lei	she, her, do you, she'll, you'll, you, does she, hers
letteratura	literature
letto	bed
lezione	class, lecture, lesson, moral
lezioni	lessons, classes, lectures
libera	she liberates, he liberates, you free, she frees, he frees, it liberates, free, clear, it frees, available, releases
libero	free, available
libro	book, books, novel's
lingua	modern languages, tongue, language
lisa	lisa
lo	the, him, it, that
Londra	London
loro	they, theirs, their, them, they'll
luglio	July
lui	he
luna	month, moon
lunedì	Monday
lì	at first, very nearly, there and then, there, on the spur of the moment, thereabouts, throws
ma	but, though, only
macchina	car, machine, automobile, he plots, she plots
macchine	car, machines, he hatches up, you plot, machine, cars, typewriter, she plots, she brews, he plots, you hatch up, you brew, he brews, it brews, engine, she hatches up
madre	mother
madri	mother, stub, mothers, moms'
maggio	May
maglietta	T-shirt
maglione	sweater
maglioni	sweaters, jumpers, pullovers
mai	never, ever
malato	dirty, sick person, ailing, sick, ill, diseased, injured, dirtiest
mamma	mom
mangi	you eat, do you eat, eat, eats
mangia	eats, does she eat, does he eat, he eats, you eat, she eats, do you eat, does it eat, eat, it eats
mangiamo	we are eating, we eat, eat, we will eat, let's
mangiano	they eat away, eat, they eat, they are eating
mangiare	to eat
mangiate	you all eat, you are eating, you eat, do you eat, eat
mangio	I eat, I am eating, eat
mano	layer, coat, hand, coats
mappa	picture, map, plan, maps
marche	makes
marco	I brand, I mark, mark, I emphasize, Marco
marito	husband
marocchino	Moroccan
martedì	Tuesday
marzo	March
matematica	math
materia	subject, course, matter, substance, subjects
matrimonio	marriage, match, wedding, wedding's
mattina	morning
matto	insane person, madly, loony, madman, insane, mad, lunatic, (I) (check)mate, crazy, bonkers, potty, false, maddest
mazza	bat, club
mazzo	stock, pack
me	me, to me, myself
medici	doctors, medical
meno	less
menù	menu
mercato	market
mercoledì	Wednesday
mese	month
mesi	monthly pay, months, month, months'
messi	compare, set, inspire, put in, reaping, caused, fit, turned, play, crop, sunk, laid on, put on, compared, posted up, post up, turn, assumed, played, add, lay on, suppose, cause, sink, rank, added, put up, ranked, agent, put forth, harvest, imposed, emissary, assume, inspired, impose, worn, placed, put oneself, put (in), place, supposed, fitted, wear
mettete	you put on, put, keep, you put up, place, you put in
metti	you put on, do you put, put, keep, place, you put
mi	myself, about me, me, to me, for me, my, I
mi chiamo	my name is, i am called, my name's
mi dispiace	sorry
mi piacciono	I like
mi piace	I like
mi sono persa	got lost
mi sono perso	got lost, I'm lost
mia	mine, my, mia
Milano	Milan
mio	mine, my, dad's
mobili	furniture, furnishings
moglie	wife
molle	soft
molta	a lot of, very, many, at the utmost, much
molte	many
molti	many
molto	a lot of, really, very, much, a lot, far
monumento	monument
moschea	mosque
mostre	exhibitions
mostri	you point to, show, you show, monsters, present, you exhibit
museo	museums, museum, museum's
musica	music
Natale	Christmas
natura	nature
negozi	you negotiate, business, activities, stores, you trade, shops, shoppe, bargains, store, occupation, you deal
negozio	store
nel	in, in the, many-sided, inside, elaborate, band, compound, on the whole, sum, by and large, hang-up, entirety, difficult, at, on, subtle, into the, to, whole, on the, complex, by, group, messy, through
nella	inside, in the, into, inside the, into the, to, whole, in, by, group, messy
nello	in the, in, in my, inside, on, to, by, at the
nera	black
nere	black
neri	black, neri
nero	black
nevica	it snows, snows, snow
no	no, not, haven't
nodo	knot, junction
noi	we, us, ourselves
noioso	boring
non	she doesn't, do not, can't, we didn't, did not, won’t, won't, didn’t, has not wanted, don't, don’t, didn't, does not, n’t, he doesn't, doesn't, we don't, doesn’t
non ho capito	I did not understand, I have not understood, I didn't get it, I haven't understood, I don't understand, I didn't catch that
non lo so	I do not know
non sono d'accordo	I disagree, I do not agree, I am not in agreement, I don't agree, I am not of the same opinion, No
non ti preoccupare	don't worry
nonna	grandmother, grandmother's, grandma, grandma's
nonno	grandpa, grandfather, grandpa's
notte	night, nights, evenings
nove	nine
nuotare	to swim
nuova	new, recent
nuove	new, again, afresh, anew, further
nuovi	new, again, afresh, anew, further
nuovo	new
o	or
occhi	eyes
occupato	busy, held
odio	hate, hatred, I hate, I detest
oggi	today
ogni	every
ombrello	shelter, umbrella, gamp
ora	now
ordinare	to order
organizzare	to organize
orologi	clocks, watches
orologio	watch, clock, wrist watch, watches, wall clock, timer
ospedale	hospital
ostello	hostel
otto	eight
pacco	packs, package, pack
padre	father
paese	village, town, country, country's
paesi	countries, towns, cities
pagare	to pay
palla	bummer, ball, drag
palle	balls, ball, shot
pane	bread
panettone	panettone
pantaloni	pants
papà	dad, daddy, dad's
parchi	parks
parco	park
parla	speaks, speak, talks, is speaking, talk, is talking
parlano	speak, talk, they talk, they speak
parlare	to mention, let's, speak, to speak, talking, way of speaking, talked, to talk, talk, speech, speaking, to address, mention, to tell, we're
parlate	you speak, you mention, speak, you talk, you address, talk, do you speak, you tell
parli	you speak, speak, you talk, talk, do you speak, you are talking, you are speaking
parliamo	we talk, let's talk, we are speaking, we speak, let's
parlo	speak, I speak, I am speaking, I talk, I am talking, talk
parte	leave, departs, fit, part, role, share, goes, leaves, place, side, way, does (he/she/it) leave
partono	they get off, leave, do they leave, they leave, they depart
Pasqua	Easter
passa	(he/she/it) poses, (you) move on, (he/she/it) passes between, (he/she/it) blows itself out, (you) run, (he/she/it) forgives, (you) mash (up), (he/she/it) draws, (he/she/it) spends, (you) pass on, (you) put on, (he/she/it) changes, (you) drop in, (he/she/it) is promoted, (he/she/it) drops round, (you) blow itself out, (you) pay, (you) pose, (he/she/it) shows, (you) pass off, (he/she/it) puts through, (you) rub, (he/she/it) pays, (you) whizz up, (he/she/it) connects, (he/she/it) draws on, (you) go across, (you) forgive, (he/she/it) goes past, (he/she/it) passes on, (he/she/it) impersonates, (you) get over, (he/she/it) lives out, (you) cross, (you) blow over, (he/she/it) goes (by), (you) spend itself, (you) carry, (you) wear off, (you) change, (he/she/it) goes across, (you) pass between, (he/she/it) dies out, (you) put through, (he/she/it) moves on, (he/she/it) goes for, (he/she/it) rubs, (you) drop round, (he/she/it) dies, (he/she/it) purees, (he/she/it) whizzes up, (he/she/it) wears off, (he/she/it) carries, (you) move, (you) die, (you) go by, (he/she/it) runs through, (you) go past, (he/she/it) mashes (up), (you) draw on, (he/she/it) puts on, (you) impersonate, (he/she/it) runs, (you) are promoted, (he/she/it) goes on, (you) live out, (he/she/it) checks, (he/she/it) gets over, (he/she/it) hands, (you) draw, (you) hand, (he/she/it) pops in, (he/she/it) spends itself, (he/she/it) drops in, (you) die out, (you) go through, (you) pop in, (he/she/it) blows over, (you) get across, be promoted, (you) go on, (you) are over, (he/she/it) goes through, (he/she/it) is over, (you) puree, (you) go (by), (you) pass, (he/she/it) crosses, (he/she/it) passes down, (he/she/it) moves, (he/she/it) goes by, (he/she/it) passes, be over, (you) run through, (he/she/it) forgets, (he/she/it) subsides, (he/she/it) gets through, (you) get through, (you) go for, (you) connect, spend, (you) flow, (you) forget, (you) subside, (you) spend, (he/she/it) passes off, (you) check, (he/she/it) gets across, (you) show, (he/she/it) flows, (you) pass down, call
passaporto	passport
passeggiare	to walk around
passi	(you) are passing, (you) move on, (you) run, (you) mash (up), (you) pass on, (you) put on, (you) drop in, (you) blow itself out, (you) pay, (you) pose, (you) pass off, (you) rub, (you) whizz up, (you) go across, (you) forgive, come and visit, (you) get over, (you) cross, (you) blow over, (you) spend itself, (you) carry, (you) wear off, (you) change, (you) pass between, (you) put through, (you) drop round, steps, (you) move, (you) die, (you) go by, (you) go past, (you) draw on, (you) impersonate, (you) are promoted, (you) live out, (you) draw, (you) hand, (you) die out, (you) go through, (you) pop in, (you) get across, progress, be promoted, (you) go on, come, (you) are over, (you) puree, (you) go (by), pass, (you) pass, call, be over, (you) run through, (you) get through, (you) go for, (you) connect, spend, (you) flow, (you) forget, (you) subside, (you) spend, (you) check, (you) show, (you) pass down, passed
passiamo	we rub, we blow over, we go for, we whizz up, we mash, we connect, we pose, we spend, we puree, we are over, we go by, we mash up, we move on, we cross, we put through, we pass off, we die out, we draw on, we carry, we impersonate, we die, we forget, we go past, we get across, we show, we drop in, we live out, we check, we pay, we are promoted, we run, we pass down, we pop in, we get over, we change, we hand, we pass between, we subside, we go across, we pass, we pass on, pass, we wear off, call, we draw, we forgive, we drop round, spend, we go through, we get through, we run through, we flow, we go on, we move
passo	(I) spend, walks, (I) drop in, (I) go across, (I) get over, (I) pass off, (I) go past, (I) stop by, (I) go on, (I) get across, (I) hand, pas, (I) whizz up, (I) connect, (I) puree, (I) wear off, (I) go by, (I) show, (I) pass on, (I) forget, (I) blow itself out, withered, (I) blow over, (I) move on, (I) pose, (I) cross, footstep, (I) am promoted, snatch, step, (I) go through, section, (I) move, stop, (I) pass down, (I) spend itself, walk, (I) run through, dried, (I) pass, (I) draw on, pass, (I) rub, call, (I) carry, bit, (I) drop round, gauge, (I) mash (up), (I) get through, (I) put through, (I) run, (I) pop in, spend, (I) pass between, pace, footfall, way, passed
pasta	pasta
patente	driver's license
pattinare	to skate
pazzo	madman, mad, crazy, goofy, maddest
penna	feather, pen
pentola	potful, pot, casserole, pan, pots
per	for, per, times, on, to, gone, out of, in, went, by, going
per favore	please
perché	because, why, for, reason, so that, before, found, find
persone	people, persona, person, peoples
pesce	fish
pezzo	part, lengths, cut, bit, scrap, piece, entries, d'oeuvre
piaccio	(I) like oneself, like
piacciono	like, does he like, does she like, they like, do like, likes, are liked, does like
piace	like, likes, does like
piacere	nice to meet you
piangi	do you cry, you grieve for, cry, you mourn for, you cry
piano	slow, quietly, level, even, level's, scheme, slowly, piano, slower, planes, plain, program, flat, floor, gently, project, plans, programme, floor's, softly, plan, stories, plan's
piatti	plates, unimaginative, flat, dishes, smooth, cymbal, pan, dull, unexciting, plate
piazza	square
piccola	little, minor, less, small, baby
piccolo	small
pieno	solid, full, complete, heavy, rich, plump, busy, round, richer
pino	pine
piove	rains, it rains
pizza	pizzas, pizza, pizza's
pizzeria	pizzeria
più	most, plus, more, again, anymore, over, the most
pollo	chicken
pomeriggio	afternoon
pomodoro	tomato
portafoglio	wallet
portare	to bring
Portogallo	Portugal
possiamo	can we, we are able to, we can, can
posso	I can, I may, I am able to, can I, can, can't
possono	they can, they are allowed to, can, they may, they are able to, they'll
posto	site, assuming that, given that, posed, put down, position, in place of, spot, I station, put oneself, seat, supposed, situated, put, tidy, job, assumed, at the scene, arisen, to the scene, room, on the scene, set, laid down, since, placed, place, erected, set up, space, parking place, provided that, station, points, instead of, I post
potete	you are allowed to, you are able to, you can
pranzare	to have lunch
prato	lawn, grass, meadow, lea
preferisco	I prefer, prefer, I like better, I like best
preferite	favorite, you prefer, do you prefer
preferito	favourite, favorite, preferable, preferred, pets, preferential
prego	you're welcome
prende	you take, she grasps, it takes, you get, takes, take, he gets, it grasps, you grasp, he grasps, had, it gets, she gets, took, he takes
